,category,domain,img,type,task
0,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\0.jpg,train,1
1,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1.jpg,test,4
2,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\10.jpg,train,1
3,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1000.jpg,train,1
4,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1003.jpg,train,1
5,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1006.jpg,train,1
6,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1007.jpg,test,3
7,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1008.jpg,train,1
8,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1009.jpg,train,1
9,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1010.jpg,train,1
10,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1011.jpg,train,1
11,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1012.jpg,test,2
12,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1013.jpg,train,1
13,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1014.jpg,train,1
14,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1015.jpg,train,1
15,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1016.jpg,train,1
16,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1017.jpg,train,1
17,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1018.jpg,train,1
18,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1019.jpg,train,1
19,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1020.jpg,train,1
20,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1021.jpg,train,1
21,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1022.jpg,train,1
22,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1023.jpg,train,1
23,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1024.jpg,train,1
24,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1025.jpg,train,1
