,category,domain,img,type,task
0,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\0.jpg,train,2
1,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1.jpg,train,2
2,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\10.jpg,train,2
3,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1000.jpg,train,2
4,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1003.jpg,train,2
5,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1006.jpg,train,2
6,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1007.jpg,train,2
7,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1008.jpg,train,11
8,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1009.jpg,train,1
9,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1010.jpg,train,1
10,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1011.jpg,train,2
11,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1012.jpg,train,1
12,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1013.jpg,train,2
13,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1014.jpg,train,1
14,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1015.jpg,train,1
15,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1016.jpg,train,1
16,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1017.jpg,train,2
17,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1018.jpg,train,2
18,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1019.jpg,train,2
19,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1020.jpg,train,1
20,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1021.jpg,train,1
21,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1022.jpg,train,2
22,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1023.jpg,train,2
23,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1024.jpg,train,2
24,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1025.jpg,train,2
25,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1027.jpg,train,2
26,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1028.jpg,train,1
27,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1029.jpg,train,2
28,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\103.jpg,train,2
29,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1030.jpg,train,2
30,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1031.jpg,train,2
31,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1033.jpg,train,1
32,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1034.jpg,train,2
33,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1036.jpg,train,2
34,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1037.jpg,train,2
35,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1038.jpg,train,1
